bioID,useFirst,firstName,middleName,lastName,nameGiven,fullGivenName,nameSuffix,nameNick,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate,birthCity,birthState,birthCountry,highSchool,hsCity,hsState,hsCountry,deathDate,race
adamsal01,Alvan,Alvan,Leigh,Adams,,,,"Double A, The Oklahoma Kid",C-F,0,0,81,210,Oklahoma,,19-07-54,Lawrence,KS,USA,Putnam City,Putnam City,OK,USA,0000-00-00,W
adamsge01,George,George,,Adams,,,,,F-G,0,0,77,210,Gardner-Webb,,15-05-49,Kings Mountain,NC,USA,Kings Mountain,Kings Mountain,NC,USA,0000-00-00,B
adamsha01,Hassan,Hassan,Olawale,Adams,,,,,G,0,0,76,220,Arizona,,20-06-84,Inglewood,CA,USA,Westchester,Los Angeles,CA,USA,0000-00-00,B
adamsmi01,Michael,Michael,,Adams,,,,,G,0,0,70,162,Boston College,,19-01-63,Hartford,CT,USA,Hartford Public,Hartford,CT,USA,0000-00-00,B
addisra01,Rafael,Rafael,,Addison,,,,,F-G,0,0,79,215,Syracuse,,22-07-64,Jersey City,NJ,USA,Snyder,Jersey City,NJ,USA,0000-00-00,B
adrieje01,Jeff,Jeff,,Adrien,,,,,F,0,0,79,243,Connecticut,,10-02-86,Brookline,MA,USA,Brookline/Brewster Academy,Brookline/ Wolfeboro,MA/NH,USA,0000-00-00,B
agerma01,Maurice,Maurice,Darnell,Ager,,,,,G,0,0,77,202,Michigan State,,09-02-84,Detroit,MI,USA,Crocket,Detroit,MI,USA,0000-00-00,B
aguirma01,Mark,Mark,Anthony,Aguirre,,,,,F-G,0,0,78,232,DePaul,,10-12-59,Chicago,IL,USA,Austin / Westinghouse Voc.,Chicago,IL,USA,0000-00-00,B
akinhe01,Henry,Henry,T.,Akin,,,,,C-F,0,0,82,225,Morehead State,William Carey (DNP),31-07-44,Detroit,MI,USA,Troy,Troy,MI,USA,0000-00-00,W
alarima01,Mark,Mark,Steven,Alarie,,,,,F,0,0,80,217,Duke,,11-12-63,Phoenix,AZ,USA,Brophy Prep,Phoenix,AZ,USA,0000-00-00,W
alcorga01,Gary,Gary,R.,Alcorn,,,,,C,0,0,81,225,Fresno State,Fresno City,08-10-36,,,,Roosevelt,Fresno,CA,USA,29-11-06,W
aldrico01,Cole,Cole,David,Aldrich,,,,,C,0,0,83,245,Kansas,,31-10-88,Burnsville,MN,USA,Jefferson,Bloomington,MN,USA,0000-00-00,W
aldrila01,LaMarcus,LaMarcus,Nurae,Aldridge,,,,,F,0,0,83,240,Texas,,19-07-85,Dallas,TX,USA,Seagoville,Dallas,TX,USA,0000-00-00,B
alexaco01,Cory,Cory,Lynn,Alexander,,,,,G,0,0,73,185,Virginia,,22-06-73,Waynesboro,VA,USA,Oak Hill Academy,Mouth of Wilson,VA,USA,0000-00-00,B
alexaco02,Courtney,Courtney,Jason,Alexander,,,,,G,0,0,77,205,Fresno State,Virginia,27-04-77,Bridgeport,CT,USA,Jordan,Durham,NC,USA,0000-00-00,B
alexaga01,Gary,Gary,R.,Alexander,,,,,F,0,0,79,240,Jacksonville,,01-11-69,Jacksonville,FL,USA,William M. Raines,Jacksonville,FL,USA,0000-00-00,B
alexavi01,Victor,Victor,Joe,Alexander,,,,,C-F,0,0,81,265,Iowa State,,31-08-69,Detroit,MI,USA,Denby,Detroit,MI,USA,0000-00-00,B
allenje01,Jerome,Jerome,Byron,Allen,,,,,G,0,0,76,184,Pennsylvania,,28-01-73,Philadelphia,PA,USA,Episcopal Academy,Merion Station,PA,USA,0000-00-00,B
allenla01,Lavoy,Lavoy,,Allen,,,,,F,0,0,81,225,Temple,,04-02-89,Trenton,NJ,USA,Pennsbury,Fairless Hills,PA,USA,0000-00-00,B
allenlu01,Lucius,Lucius,Oliver,Allen,,,Jr.,,G,0,0,74,175,UCLA,,26-09-47,Kansas City,KS,USA,Wyandotte,Kansas City,KS,USA,0000-00-00,B
allenma01,Malik,Malik,,Allen,,,,,F,0,0,82,255,Villanova,,27-06-78,Willingboro,NJ,USA,Shawnee,Medford,NJ,USA,0000-00-00,B
allenwi01,Willie,Willie,,Allen,,,,,F,0,0,78,230,Miami (FL),,08-02-49,,,,Richard Montgomery,Rockville,MD,USA,0000-00-00,B
allisod01,Odis,Odis,,Allison,,,Jr.,,F,0,0,78,195,UNLV,Laney JC,02-10-49,,,,McClymonds,Oakland,CA,USA,0000-00-00,B
allrela01,Lance,Lance,Collin,Allred,,,,,C,0,0,83,250,Weber State,Utah,02-02-81,Salt Lake City,UT,USA,East,Salt Lake City,UT,USA,0000-00-00,W
allumda01,Darrell,Darrell,Wilbert,Allums,,,Jr.,,F,0,0,80.5,220,UCLA,,12-09-58,Los Angeles,CA,USA,Lynwood,Lynwood,CA,USA,0000-00-00,B
almonmo01,Morris,Morris,,Almond,,,,,G,0,0,78,215,Rice,,02-02-85,Dalton,GA,USA,McEachern,Powder Springs,GA,USA,0000-00-00,B
alstode01,Derrick,Derrick,Samuel,Alston,,,,,F,0,0,83,225,Duquesne,,20-08-72,Bronx,NY,USA,Hoboken,Hoboken,NJ,USA,0000-00-00,B
alstora01,Rafer,Rafer,Jamel,Alston,,,,Skip to my Lou,G,0,0,74,171,Fresno State,Ventura JC / Fresno CC,24-07-76,New York,NY,USA,Benjamin Cardozo,Bayside,NY,USA,0000-00-00,B
alumape01,Peter,Peter,,Aluma,,,,,C,0,0,82,260,Liberty,,23-04-73,"Agbe, Lagos",,NGR,Okota Grammar School,Isolo,,NGR,0000-00-00,B
amaecjo01,John,John,Ekwugha,Amaechi,,,,,C-F,0,0,81,270,Penn State,Vanderbilt,26-11-70,Boston,MA,USA,St. John's,Toledo,OH,USA,0000-00-00,B
amayaas01,Ashraf,Ashraf,,Amaya,,,,Andrew,F,0,0,79,230,Southern Illinois,,23-11-71,Oak Park,IL,USA,Walter Lutheran,Melrose Park,IL,USA,0000-00-00,B
aminual01,Al-Farouq,Al-Farouq,,Aminu,,,,,F,0,0,81,215,Wake Forest,,21-09-90,Atlanta,GA,USA,Norcross,Norcross,GA,USA,0000-00-00,B
amundlo01,Louis,Louis,Gabriel,Amundson,,,,Lou,F,0,0,81,225,UNLV,,07-12-82,Ventura,CA,USA,Boulder / Monarch,Boulder / Louisville,CO,USA,0000-00-00,W
anderal01,Alan,Alan,Jeffery,Anderson,,,,,G-F,0,0,78,220,Michigan State,,16-10-82,Minneapolis,MN,USA,DeLaSalle,Minneapolis,MN,USA,0000-00-00,B
anderch01,Chris,Chris,,Andersen,,,,Birdman,F-C,0,0,82,220,Blinn CC,,07-07-78,Iola,TX,USA,Iola,Iola,TX,USA,0000-00-00,W
anderda02,Daniel,Daniel,Edward,Anderson,,,,"Dan, Danny",G,0,0,74,185,USC,,01-01-51,,,,North,Torrance,CA,USA,0000-00-00,W
anderde01,Derek,Derek,Lamont,Anderson,,,,,G,0,0,76,194,Kentucky,Ohio State,18-07-74,Louisville,KY,USA,Doss,Louisville,KY,USA,0000-00-00,B
anderdw01,Dwight,Dwight,Anthony,Anderson,,,,,G,0,0,75,175,USC,Kentucky,28-12-60,Dayton,OH,USA,Roth,Dayton,OH,USA,0000-00-00,B
anderer01,Eric,Eric,Walfred,Anderson,,,,,F,0,0,81,220,Indiana,,26-05-70,Chicago,IL,USA,St. Francis DeSales,Chicago,IL,USA,0000-00-00,W
anderja01,James,James,Lee,Anderson,,,,,G,0,0,78,215,Oklahoma State,,25-03-89,El Dorado,AR,USA,Junction City,Junction City,AR,USA,0000-00-00,B
anderje01,Jerome,Jerome,,Anderson,,,,Jay,G,0,0,77,195,West Virginia,,09-10-53,Mullens,WV,USA,Mullens,Mullens,WV,USA,01-08-09,B
andermi01,Michael,Michael,Levin,Anderson,,,,,G,0,0,71,184,Drexel,,23-03-66,Philadelphia,PA,USA,Engineering&Sciences,Philadelphia,PA,USA,0000-00-00,B
anderri01,Richard,Richard,Andrew,Anderson,,,,,F-C,0,0,82,240,Cal. St.-Santa Barbara,,19-11-60,San Pedro,CA,USA,Rancho Alamitos,Garden Grove,CA,USA,0000-00-00,W
andersh01,Shandon,Shandon,Rodriguez,Anderson,,,,Rod,F-G,0,0,78,208,Georgia,,31-12-73,Atlanta,GA,USA,Crim,Atlanta,GA,USA,0000-00-00,B
anderwi01,Willie,Willie,Lloyd,Anderson,,,Jr.,Chill,G-F,0,0,79,190,Georgia,,08-01-67,Greenville,SC,USA,East Atlanta,Atlanta,GA,USA,0000-00-00,B
andrima01,Martynas,Martynas,,Andriuskevicius,,,,Marty,C,0,0,86,240,none,,12-03-86,Kaunas,,LTU,,,,,0000-00-00,W
anslemi01,Michael,Michael,Antonio,Ansley,,,,,F,0,0,79,225,Alabama,,08-02-67,Birmingham,AL,USA,Jackson-Olin,Birmingham,AL,USA,0000-00-00,B
anthoca01,Carmelo,Carmelo,Kyam,Anthony,,,,Melo,F,0,0,80,220,Syracuse,,29-05-84,Brooklyn,NY,USA,Towson Catholic / Oak Hill Academy,Towson / Mouth of Wilson,MD / VA,USA,0000-00-00,B
araujra01,Rafael,Rafael,Paulo,Araujo,,,,,C,0,0,83,290,Brigham Young,Arizona Western JC,12-08-80,Curitiba,,BRA,Padre Anacleto,Sao Paulo,,BRA,0000-00-00,W
arcenst01,Stacey,Stacey,,Arceneaux,,Robert L. Stacey,, Bob Arceneaux in hs,F,0,0,76,210,Iowa State (dnp) ?,,17-02-36,,,,Taft,New York,NY,USA,0000-00-00,B
archiro01,Robert,Robert,Michael,Archibald,,,,,F,0,0,83,250,Illinois,,29-03-80,Paisley,,SCO,Lafayette,Ballwin,MO,USA,0000-00-00,W
arenagi01,Gilbert,Gilbert,Jay,Arenas,,,,Agent Zero,G,0,0,75,191,Arizona ,,06-01-82,Tampa,FL,USA,Grant,Van Nuys,CA,USA,0000-00-00,B
arizatr01,Trevor,Trevor,Anthony,Ariza,,,,,F,0,0,79,194,UCLA,,30-06-85,Miami,FL,USA,Westchester,Los Angeles,CA,USA,0000-00-00,B
arizipa01,Paul,Paul,Joseph,Arizin,,,,Pitchin' Paul,F-G,0,0,74,190,Villanova,,09-04-28,Philadelphia,PA,USA,LaSalle (DNP),Philadelphia,PA,USA,12-12-06,W
armstbr01,Brandon,Brandon,Simone,Armstrong,,,,,G,0,0,77,185,Pepperdine,,16-06-80,San Francisco,CA,USA,Vallejo,Vallejo,CA,USA,0000-00-00,B
armstda01,Darrell,Darrell,Eugene,Armstrong,,,,,G,0,0,72,169,Fayetteville State,,22-06-68,Gastonia,NC,USA,Ashbrook,Gastonia,NC,USA,0000-00-00,B
armsthi01,Hilton,Hilton,A.,Armstrong,,,Jr.,,F-C,0,0,83,235,Connecticut,,11-11-84,Peekskill,NY,USA,Peekskill,Peekskill,NY,USA,0000-00-00,B
arnetja01,Jay,Jay,Hoyland,Arnette,,,,,G,0,0,74,175,Texas,,19-12-38,Austin,TX,USA,McCallum,Austin,TX,USA,0000-00-00,W
arthujo01,John,John,Charles,Arthurs,,,,,G,0,0,76,185,Tulane,,15-08-47,,,,DeLaSalle,New Orleans,LA,USA,0000-00-00,W
asikom01,Omer,Omer,Faruk,Asik,,,,,C-F,0,0,84,255,none,,04-07-86,Bursa,,TUR,,,,,0000-00-00,W
askewvi01,Vincent,Vincent,Jerome,Askew,,,,,G-F,0,0,77,210,Memphis State,,28-02-66,Memphis,TN,USA,Frayser,Memphis,TN,USA,0000-00-00,B
askinke01,Keith,Keith,Bernard,Askins,,,,,G-F,0,0,79,197,Alabama,,15-12-67,Athens,AL,USA,Athens,Athens,AL,USA,0000-00-00,B
augmost01,Stacey,Stacey,Orlando,Augmon,,,,The Plastic Man,G-F,0,0,78,205,UNLV,,01-08-68,Pasadena,CA,USA,John Muir,Pasadena,CA,USA,0000-00-00,B
augusja01,James,James,Dale,Augustine,,,,,F,0,0,82,235,Illinois,,27-02-84,Midlothian,IL,USA,Lincoln-Way Central,Mokena,IL,USA,0000-00-00,W
austiis01,Isaac,Isaac,Edward,Austin,,,,Ike,F-C,0,0,82,255,Arizona State,Kings River (CA),18-08-69,Gridley,CA,USA,Las Plumas,Oroville,CA,USA,0000-00-00,B
austike01,Ken,Ken,,Austin,,,,,F,0,0,81,200,Rice,,15-07-61,Los Angeles,CA,USA,Verbum Dei,Los Angeles,CA,USA,0000-00-00,B
aventan01,Anthony,Anthony,,Avent,,,,A.A.,F,0,0,81,235,Seton Hall,,18-10-69,Rocky Mount,NC,USA,M.X. Shabbaz,Newark,NJ,USA,0000-00-00,B
averywi01,William,William,,Avery,,,,Will,G,0,0,74,180,Duke,,08-08-79,Augusta,GA,USA,Westside / Oak Hill Academy,Augusta / Mouth of Wilson,GA / VA,USA,0000-00-00,B
awtrede01,Dennis,Dennis,Wade,Awtrey,,,,,C,0,0,82,235,Santa Clara,,22-02-48,Hollywood,CA,USA,Blackford,San Jose,CA,USA,0000-00-00,W
azubuke01,Kelenna,Kelenna,David,Azubuike,,,,,G,0,0,77,220,Kentucky,,16-12-83,London,,ENG,Victory Christian School,Tulsa,OK,USA,0000-00-00,B
babbilu01,Luke,Luke,Robert,Babbitt,,,,,F,0,0,81,225,Nevada-Reno,,20-06-89,Cincinnati,OH,USA,Galena,Reno,NV,USA,0000-00-00,W
babicmi01,Milos,Milos,,Babic,,,,,C-F,0,0,84,240,Tennessee Tech,,23-11-68,Kraljevo,,YUG,Kraljevo,Kraljevo,,YUG,0000-00-00,W
bagarda01,Dalibor,Dalibor,,Bagaric,,,,,C,0,0,85,255,none,,07-02-80,Munich,,GER,,,,,0000-00-00,W
baglejo01,John,John,Edward,Bagley,,,,Bags,G,0,0,72,185,Boston College,,23-04-60,Bridgeport,CT,USA,Warren Harding,Bridgeport,CT,USA,0000-00-00,B
baileca01,Carl,Carl,,Bailey,,,,,C,0,0,84,210,Tuskegee,,23-04-58,Birmingham,AL,USA,Jackson-Olin,Birmingham,AL,USA,0000-00-00,B
baileja01,James,James,L.,Bailey,,,,Jammin' James,F-C,0,0,81,220,Rutgers,,21-05-57,Dublin,GA,USA,Xaverian,Westwood,MA,USA,0000-00-00,B
baileth01,Thurl,Thurl,Lee,Bailey,,,,Big T.,F-C,0,0,83,215,North Carolina State,,07-04-61,Washington,DC,USA,Bladensburg,Bladensburg,MD,USA,0000-00-00,B
bakerji01,Jimmie,Jimmie,,Baker,,,Jr.,,F,0,0,81,220,Hawaii,UNLV,25-12-53,Philadelphia,PA,USA,Olney,Philadelphia,PA,USA,0000-00-00,B
bakerla01,LaMark,LaMark,Anthony,Baker,,,,Mark,G,0,0,73,175,Ohio State,,11-11-69,Dayton,OH,USA,Paul L. Dunbar,Dayton,OH,USA,0000-00-00,B
bakerma01,Maurice,Maurice,,Baker,,,,,G,0,0,73,175,Oklahoma State,Dixie College,28-07-79,Granite City,IL,USA,Madison,Madison,IL,USA,0000-00-00,B
balkmre01,Renaldo,Renaldo,,Balkman,,,,,F,0,0,80,208,South Carolina,,14-07-84,Staten Island,NY,USA,Laurinburg / IMG Academy / Blake / Armwood,Laurinburg / Bradenton / Tampa / Seffner,NC/FL/FL/FL,USA,0000-00-00,B
ballce01,Cedric,Cedric,Glenn,Ball,,,,,F,0,0,80,210,UNC-Charlotte,,16-04-68,Worcester,MA,USA,South,Worcester,MA,USA,0000-00-00,B
baltihe01,Herschel,Herschel,David,Baltimore,,,,Herk,F,0,0,76,195,Penn State,,21-06-21,(ht) New Castle,PA,USA,New Castle Senior,New Castle,PA,USA,01-01-68,W
bankswa01,Walker,Walker,Burrell,Banks,,,Jr.,,C,0,0,82,205,Western Kentucky,,26-08-47,,,,Clifton Forge,Clifton Forge,VA,USA,0000-00-00,B
barbejo01,John,John,,Barber,,,,,F,0,0,78,210,Los Angeles State,,27-06-27,,,,Pruitt,Atlanta,TX,USA,0000-00-00,B
barbole01,Leandro,Leandro,Mateus,Barbosa,,,,Leandrinho,G,0,0,75,176,none,,28-11-82,Sao Paulo,SP,BRA,,,,,0000-00-00,B
bargnan01,Andrea,Andrea,,Bargnani,,,,,F,0,0,84,225,none,,26-10-85,Rome,,ITA,,,,,0000-00-00,W
barklch01,Charles,Charles,Wade,Barkley,,,,"Sir Charles, Chuck, The Chuckster",F,0,0,77,250,Auburn,,20-02-63,Leeds,AL,USA,Leeds,Leeds,AL,USA,0000-00-00,B
barkler01,Erick,Erick,,Barkley,,,,,G,0,0,73,177,St. John's (NY),,21-02-78,Brooklyn,NY,USA,Christ the King / Maine Central Institute,Middle Village / Pittsfield,NY / ME,USA,0000-00-00,B
barneha01,Harry,Harry,J.,Barnes,,,,,F,0,0,75,205,Northeastern,,25-07-45,Youngstown,OH,USA,,,,,0000-00-00,B
barnema01,Marvin,Marvin,Jerome,Barnes,,,,"Good News, The Magnificent",F-C,0,0,80,210,Providence,,27-07-52,Providence,RI,USA,Central,Providence,RI,USA,0000-00-00,B
barnema02,Matt,Matt,Kelly,Barnes,,,,,F,0,0,79,235,UCLA,,09-03-80,Santa Clara,CA,USA,Del Campo,Sacramento,CA,USA,0000-00-00,B
barnhjo01,John,John,Anthony,Barnhill,,,,Rabbit,G,0,0,73,170,Tennessee State,,20-03-38,Evansville,IN,USA,Lincoln,Evansville,IN,USA,0000-00-00,B
barnhno01,Norton,Norton,,Barnhill,,,,,G,0,0,76,205,Washington State,,15-07-53,Winston-Salem,NC,USA,West Forsyth / Anderson / Atkins,Clemmons / Winston-Salem / Winston-Salem,NC,USA,0000-00-00,B
barrean01,Andre,Andre,Rashawd,Barrett,,,,,G,0,0,70,172,Seton Hall,,21-02-82,Bronx,NY,USA,Rice,New York,NY,USA,0000-00-00,B
barreer01,Ernie,Ernie,Drew,Barrett,,,,Black Jack,G-F,0,0,75,180,Kansas State,,27-08-29,Pratt,KS,USA,Wellington,Wellington,KS,USA,0000-00-00,W
barroda01,Dana,Dana,Bruce,Barros,,,,,G,0,0,71,163,Boston College,,13-04-67,Boston,MA,USA,Xaverian,Westwood,MA,USA,0000-00-00,B
barroea01,Earl,Earl,Daniel,Barron,,,Jr.,,C,0,0,84,245,Memphis,,14-08-81,Clarksdale,MS,USA,Clarksdale,Clarksdale,MS,USA,0000-00-00,B
barrybr01,Brent,Brent,Robert,Barry,,,,Bones,G,0,0,78,185,Oregon State,,31-12-71,Hempstead,NY,USA,De La Salle Catholic,Concord,CA,USA,0000-00-00,W
barrydr01,Drew,Drew,William,Barry,,,,,G,0,0,77,190,Georgia Tech,,17-02-73,Oakland,CA,USA,De La Salle Catholic,Concord,CA,USA,0000-00-00,W
barryjo01,Jon,Jon,Alan,Barry,,,,J.B.,G,0,0,76,195,Georgia Tech,Pacific/Paris JC,25-07-69,Oakland,CA,USA,De La Salle Catholic,Concord,CA,USA,0000-00-00,W
baskeje01,Jerry,Jerry,W.,Baskerville,,,,,F,0,0,79,190,Temple,UNLV,10-11-51,Philadelphia,PA,USA,Thomas Edison,Philadelphia,PA,USA,0000-00-00,B
bassbr01,Brandon,Brandon,Sam,Bass,,,,B Bass,F,0,0,80,240,Louisiana State,,30-04-85,Baton Rouge,LA,USA,Capitol,Baton Rouge,LA,USA,0000-00-00,B
bastoma01,Maceo,Maceo,Demond,Baston,,,,,F,0,0,81,215,Michigan ,,29-05-75,Corsicana,TX,USA,H. Grady Spruce,Dallas,TX,USA,0000-00-00,B
bateeme01,Mengke,Mengke,,Bateer,,,,Dinosaur,C,0,0,83,290,none,,20-11-75,Inner Mongolia,,CHN,,,,,0000-00-00,O
battish01,Shane,Shane,Courtney,Battier,,,,,G-F,0,0,80,220,Duke,,09-09-78,Birmingham,MI,USA,Detroit Country Day,Beverly Hills,MI,USA,0000-00-00,B
battljo01,John,John,Sidney,Battle,,,,"Cricket, Pickle, J.B.",G,0,0,74,175,Rutgers,,09-11-62,Washington,DC,USA,McKinley,Washington,DC,USA,0000-00-00,B
battsll01,Lloyd,Lloyd,,Batts,,,,,G-F,0,0,76,185,Cincinnati,,09-05-51,Chicago,IL,USA,Thornton,Harvey,IL,USA,0000-00-00,B
baxtelo01,Lonny,Lonny,Leroy,Baxter,,,,,F,0,0,79,260,Maryland,,27-07-79,Silver Spring,MD,USA,Montgomery / Anacostia / Hargrave,Rockville / Washington / Chatham,MD / DC / VA,USA,0000-00-00,B
bayloel01,Elgin,Elgin,Gay,Baylor,,,,Rabbit,F,0,0,77,225,Seattle,College of Idaho,16-09-34,Washington,DC,USA,Spingarn / Phelps Vocational,Washington,DC,USA,0000-00-00,B
bayneho01,Howard,Howard,Edgar,Bayne,,,,,F,0,0,78,235,Tennessee,,28-07-42,(ht) Dayton,OH,USA,Colonel White,Dayton,OH,USA,0000-00-00,W
bazarse01,Sergei,Sergei,Valeryanovich,Bazarevich,,,,,G,0,0,74,162,State Academy of Phys Ed.,,16-03-65,Moscow,,RUS,,,,,0000-00-00,W
beardra01,Ralph,Ralph,Milton,Beard,,,Jr.,,G,0,0,70,175,Kentucky,,02-12-27,Hardinsburg,KY,USA,Male,Louisville,KY,USA,29-11-07,W
beaslje01,Jerome,Jerome,,Beasley,,,,,F,0,0,81,237,North Dakota,Midland JC,17-05-80,Compton,CA,USA,Moreno Valley,Moreno Valley,CA,USA,0000-00-00,B
beasljo01,John,John,Michael,Beasley,,,,,F-C,0,0,81,225,Texas A&M,,05-02-44,Texarkana,TX,USA,Linden-Kildare,Kildare,TX,USA,0000-00-00,W
beatyze01,Zelmo,Zelmo,,Beaty,,,Jr.,"Big Z, Mr. Clean",C,0,0,81,225,Prairie View A&M,,25-10-39,Hillister,TX,USA,Woodville,Woodville,TX,USA,0000-00-00,B
beckco01,Corey,Corey,Laveon,Beck,,,,,G,0,0,73,190,Arkansas,South Plains,27-05-71,Memphis,TN,USA,Fairley,Memphis,TN,USA,0000-00-00,B
bedfowi01,William,William,,Bedford,,,,,C,0,0,84,225,Memphis State,,14-12-63,Memphis,TN,USA,Melrose,Memphis,TN,USA,0000-00-00,B
behnkel01,Elmer,Elmer,H.,Behnke,,,,,C,0,0,79,210,Bradley,,03-02-29,Rockford,IL,USA,Marengo,Marengo,IL,USA,0000-00-00,W
bellch01,Charlie,Charlie,Will,Bell,,,III,,G,0,0,75,200,Michigan State,,12-03-79,Flint,MI,USA,Southwestern Academy,Flint,MI,USA,0000-00-00,B
bellde01,Dennis,Dennis,R.,Bell,,,,,F,0,0,77,185,Drake,Gulf Coast CC,02-06-51,Cincinnati,OH,USA,Wyoming,Cincinnati,OH,USA,0000-00-00,B
bellra01,Raja,Raja,,Bell,,,,,G,0,0,77,210,Florida International,Boston U.,19-09-76,St. Croix,,ISV,Killian,Miami,FL,USA,0000-00-00,B
belltr01,Troy,Troy,Devon,Bell,,,,,G,0,0,73,180,Boston College,,10-11-80,Minneapolis,MN,USA,Academy of Holy Angels,Richfield,MN,USA,0000-00-00,B
benbole01,Leon,Leon,,Benbow,,,,,G,0,0,76,185,Jacksonville,,23-07-50,Columbia,SC,USA,Booker T. Washington,Columbia,SC,USA,0000-00-00,B
bendejo01,Jonathan,Jonathan,Rene,Bender,,,,,F,0,0,83,198,none,,30-01-81,Picayune,MS,USA,Picayune Memorial,Picayune,MS,USA,0000-00-00,B
benjaco01,Corey,Corey,Dwight,Benjamin,,,,,G,0,0,78,200,Oregon State,,24-02-78,Compton,CA,USA,Fontana,Fontana,CA,USA,0000-00-00,B
benneel01,Elmer,Elmer,James,Bennett,,,,,G,0,0,72,170,Notre Dame,,13-02-70,Evanston,IL,USA,Bellaire,Bellaire,TX,USA,0000-00-00,B
bennema01,Mario,Mario,Marcell,Bennett,,,,,F,0,0,81,220,Arizona State,,01-08-73,Denton,TX,USA,Denton,Denton,TX,USA,0000-00-00,B
bennewi01,Winston,Winston,George,Bennett,,,III,Steady Bee,F,0,0,79,210,Kentucky,,09-02-65,Louisville,KY,USA,Male,Louisville,KY,USA,0000-00-00,B
benoida01,David,David,,Benoit,,,,,F,0,0,80,220,Alabama,Tyler JC,09-05-68,Lafayette,LA,USA,Lafayette,Lafayette,LA,USA,0000-00-00,B
bensoke02,Keith,Keith,A.,Benson,,,Jr.,,F-C,0,0,83,230,Oakland,,13-08-88,Cleveland,OH,USA,Detroit Country Day,Beverly Hills,MI,USA,0000-00-00,B
bergega01,Gary,Gary,Dean,Bergen,,,,,C,0,0,80,210,Utah,Kansas State,16-07-32,Independence,MO,USA,William Chrisman,Independence,MO,USA,0000-00-00,W
berghla01,Larry,Larry,Clifford,Bergh,,,,,F,0,0,79.5,210,Weber State,,02-04-45,(ht) Walla Walla,WA,USA,DeSales,Walla Walla,WA,USA,0000-00-00,W
berryri01,Ricky,Ricky,Alan,Berry,,,,,F,0,0,80,205,San Jose State,Oregon State,06-10-64,Lansing,MI,USA,Live Oak,Morgan Hill,CA,USA,14-08-89,B
berrywa01,Walter,Walter,,Berry,,,,Truth,F,0,0,80,215,St. John's (NY),San Jacinto JC,14-05-64,New York,NY,USA,Morris/Clinton/Franklin,Bronx / Bronx / Brooklyn,NY,USA,0000-00-00,B
besttr01,Travis,Travis,Eric,Best,,,,,G,0,0,71,182,Georgia Tech,,12-07-72,Springfield,MA,USA,Springfield Central,Springfield,MA,USA,0000-00-00,B
biedran01,Andris,Andris,,Biedrins,,,,,F,0,0,83,240,none,,02-04-86,Riga,,LAT,Valters Basketball School,Riga,,LAT,0000-00-00,1
billuch01,Chauncey,Chauncey,Ray,Billups,,,,,G,0,0,75,202,Colorado,,25-09-76,Denver,CO,USA,George Washington,Denver,CO,USA,0000-00-00,B
